name,isin,url,keyword
AB Short Duration High Yield Portfolio I2H GBP,LU0654560795,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=9DsrsqJ0qsw%3D&Isin=LU0654560795&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,Invest in this fund within a SIPP or Investment Account
AXA Global Distribution Z Inc,GB0008308982,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=BqLbxWZHecU%3D&Isin=GB0008308982&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Aegon Ethical Corporate Bond B Inc,GB00B0C4RP31,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=gB9fQwt4hHw%3D&Isin=GB00B0C4RP31&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D5,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Allianz Index-Linked Gilt E Inc,GB00BDD4M929,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=xqgXeHyyKrw%3D&Isin=GB00BDD4M929&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D6,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Amundi Sandler US Equity SI GBP,IE00BFWY8B17,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=%2B5y9Dm6OHvE%3D&Isin=IE00BFWY8B17&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D7,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Artemis SmartGARP UK Equity I Acc,GB00B2PLJM64,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=3vzEvoFVeus%3D&Isin=GB00B2PLJM64&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D8,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Aviva Inv International Index Tracking 2 Acc,GB00B2NRNX53,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=x2oDbIc78s8%3D&Isin=GB00B2NRNX53&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D9,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BNP Paribas Aqua Privilege GBP,LU1458425813,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=FP7RSnLfecU%3D&Isin=LU1458425813&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D19,Invest in this fund within a SIPP or Investment Account
BNY Mellon Global Income U Inc,GB00BLG2W887,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=MoZGo37W698%3D&Isin=GB00BLG2W887&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D20,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BSF Emerging Companies Absolute Return D2 GBP,LU1861218136,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=92zKCnsmDLk%3D&Isin=LU1861218136&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D22,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Baillie Gifford UK Equity Alpha B Inc,GB0005857908,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=QqLkhL8rQls%3D&Isin=GB0005857908&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D12,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays GlobalAccess UK Opportunities M Acc GBP,IE00B0XXCK95,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=18yhfyNLJiI%3D&Isin=IE00B0XXCK95&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barings Emerging Markets Sovereign Debt C Inc GBP,IE00BYXX2K70,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Ut07uiRVvFc%3D&Isin=IE00BYXX2K70&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D14,Invest in this fund within a SIPP or Investment Account
BlackRock BGF China Bond D2 Hedged GBP,LU2112292177,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=H2S0eCiJnt4%3D&Isin=LU2112292177&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D15,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BlackRock GF Asian Tiger Bond D4 Hedged GBP,LU1250979793,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=pi78ogsE0JY%3D&Isin=LU1250979793&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D16,Invest in this fund within a SIPP or Investment Account
BlackRock ICS Sterling Liquid Environmentally Aware Premier Acc,IE00BKC9GJ54,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=uy76Cm1f26g%3D&Isin=IE00BKC9GJ54&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BlackRock US Dynamic D Acc,GB00B87XJQ69,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=cc4jVyPj0FM%3D&Isin=GB00B87XJQ69&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D18,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Brown Advisory US Mid-Cap Growth B Acc GBP,IE00BYW8R751,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=%2BuFH63rt2Os%3D&Isin=IE00BYW8R751&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D21,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
CQS Dynamic Credit Multi Asset I GBP,IE00BN15XV68,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=EsgbY%2Bp4ILE%3D&Isin=IE00BN15XV68&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D25,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
