name,isin,url,keyword
7IM AAP Moderately Adventurous C Inc,GB00B2PB2K59,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Fx%2FhE0YFlC0%3D&Isin=GB00B2PB2K59&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
7IM Moderately Cautious C Acc,GB0033953497,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=0FOfHS6n7lU%3D&Isin=GB0033953497&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AB American Growth Portfolio I GBP,LU1877329133,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=GaXGUHszUrw%3D&Isin=LU1877329133&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,Invest in this fund within a SIPP or Investment Account
AB Global Plus Fixed Income Portfolio I2H GBP,LU0683599889,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=5aXbXKC8uXA%3D&Isin=LU0683599889&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,Invest in this fund within a SIPP or Investment Account
AB Short Duration High Yield Portfolio ITH GBP,LU1306335958,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=VSUw36bZvcQ%3D&Isin=LU1306335958&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,Invest in this fund within a SIPP or Investment Account
AXA Global Short Duration Bonds Z Acc,GB00BDFZQV30,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=gFZcvnM7TII%3D&Isin=GB00BDFZQV30&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AXA Managed Income Z Gross Acc,GB00B7H1PG56,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Pz9ATzGOBUE%3D&Isin=GB00B7H1PG56&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AXA UK Sustainable Equity Z Acc,GB00B51R1233,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=pJGBiBoQcyM%3D&Isin=GB00B51R1233&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AXA World Funds - UK Equity I Cap GBP,LU1319653892,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=8E6vA4YsQ%2Fg%3D&Isin=LU1319653892&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BNY Mellon Sustainable Global Dynamic Bond W Hedged Acc GBP,IE00BFZMJ537,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=ono2TmlCIgw%3D&Isin=IE00BFZMJ537&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D21,Invest in this fund within a SIPP or Investment Account
BNY Multi-Sector Credit Income W Hedged,IE00BYRCJS78,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=QLv6ShblerU%3D&Isin=IE00BYRCJS78&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D21,Invest in this fund within a SIPP or Investment Account
Baillie Gifford Developed Asia Pacific B Acc,GB0030492044,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=0sBiJ%2F5EFBY%3D&Isin=GB0030492044&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays GlobalAccess Emerging Market Equity I Unhedged Acc GBP,IE00BKPJ3D56,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=x6cg5o9cqQo%3D&Isin=IE00BKPJ3D56&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,Invest in this fund within a SIPP or Investment Account
Barclays GlobalAccess Europe (ex-UK) Alpha I Unhedged Acc GBP,IE00BKS6CC54,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=hW54d4F3RZ8%3D&Isin=IE00BKS6CC54&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,Invest in this fund within a SIPP or Investment Account
Barclays GlobalAccess Global High Yield Bond I Hedged Acc GBP,IE00B3N55C91,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=E%2BXJSasCoDs%3D&Isin=IE00B3N55C91&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays GlobalAccess US Small & Mid Equity M Hedged Acc GBP,IE00B3X9VF60,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=8XFSzM6i6%2FM%3D&Isin=IE00B3X9VF60&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
