name,isin,symbol,url
HSBC ETFS PLC HSBC JAPAN SCR EQ UCITS ETF USD (DIST),,HSJS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=zoVxyR7HfVg%3D
HSBC ETFS PLC MSCI USA CLIMATE PARIS ALGD UCTS ETF USD,,HPAU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=FXyX7Fohfwc%3D
HSBC ETFS PLC MSCI WRD CLM PARIS ALGD UTS ETF USD,,HPAW,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=E3yPaL1EGZ0%3D
HSBC ETFS PLC HSBC MSCI EUROPE ISLAMIC SCR ETF EUR ACC,,HIPS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=n7DwodPH%2FWM%3D
HSBC ETFS PLC HSBC USA SCR EQ UCITS ETF USD (DIST),,HSDU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=ntiJZGA8I2g%3D
HSBC ETFS PLC HSBC EM SCR EQUITY UCITS ETF USD (DIST),,HSMD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=7Tz%2BWJW%2FSdU%3D
HSBC ETFS PLC MSCI PACIFIC EX JAPAN UCITS ETF USD ACC,,HMXA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=2nfkVL5azaU%3D
HSBC ETFS PLC HSBC JAPAN SCR EQ UCITS ETF USD (DIST),,HSJA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=yrGA5AUbmd8%3D
HSBC ETFS PLC HSBC MSCI WORLD VALUE SCR ETF USD ACC,,HWVS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=IIbPxXDtszc%3D
JPMORGAN ETFS (IRELAND) ICAV GLOB EQ PREMIUM ACTIVE UCITS ETF ACC,,JEGA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=fRmBtmE2ghs%3D
JPMORGAN ETFS (IRELAND) ICAV GLOB EQ PREMIUM ACTIVE UCITS ETF ACC,,JEAG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=rp5lVEy%2FWHI%3D
JPMORGAN ETFS (IRELAND) ICAV GLOB EQ PREMIUM ACTIVE UCITS ETF DIS,,JEPG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=shPNBU9%2F2PA%3D
