name,isin,symbol,url
LEGAL & GENERAL UCITS ETF PLC MULTI STRAT ENH COMMOD USD ETF ACC,,ENCO,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=9KRMqEy3Txg%3D
LEGAL & GENERAL UCITS ETF PLC MULTI STRAT ENH COMMOD USD ETF ACC,,ENCG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=fKMXU5jasIc%3D
LEGAL & GENERAL UCITS ETF PLC MSCI EUROPE CLIMATE PATHWAY UCITS ETF EU,,RIEG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=vz4162mfcrU%3D
LEGAL & GENERAL UCITS ETF PLC LG US ESG PARIS ALIGNED UCITS ETF,,RIUS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=p3QOQkyO9As%3D
LEGAL & GENERAL UCITS ETF PLC CYBER SECURITY INNO UCITS ETF USD ACC,,ESPY,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=z2YXZNjUoPU%3D
LEGAL & GENERAL UCITS ETF PLC CYBER SECURITY INNO UCITS ETF USD ACC,,ASPY,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=lSA7xjaZC%2Bs%3D
UBS (IRL) ETF PLC UBS (IRL) NASDAQ 100 UCITS ETF A USD ACC,,QQQA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=te2MKhnCVao%3D
UBS (IRL) ETF PLC FCTR MSCI USA PRIME VAL SCRND UCT ETF A,,UPVL,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=kdEio4Exepw%3D
UBS (IRL) ETF PLC FACTOR MSCI USA QLT SCRND UCT ETF A GBP,,UQLT,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=Oaem117vuLk%3D
GLOBAL X ETFS ICAV HYDROGEN UCITS ETF USD(GBP) ACC,,HYGG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=3O2JeMIenWE%3D
GLOBAL X ETFS ICAV SOLAR UCITS ETF USD(GBP) ACC,,RAYG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=ZxNrJD3QQBI%3D
HSBC ETFS PLC S&P 500 UCITS ETF USD ACC,,HSPA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=JkIGqBomECE%3D
