name,isin,symbol,url,keyword
AB SICAV I USD CORPORATE BOND PORTFOLIO UCITS ETF,-,,EYEG,
AMUNDI ASSET MANAGEMENT SA DAX UCITS ETF DR EUR,-,,CG1,
AMUNDI INDEX SOLUTIONS AMDI MSCI EMG MKT SRI CLMTE PRIS A U ETF,-,,MSRU,
AMUNDI INDEX SOLUTIONS AMND PEA MSCI USA ESG SLCT UCITS ETF USD,-,,CU2U,
AMUNDI INDEX SOLUTIONS AMUNDI MSCI WORLD SWAP UCITS ETF USD ACC,-,,CW8U,
AMUNDI INDEX SOLUTIONS JAPAN TOPIX UCITS ETF JPY ACC,-,,TPXG,
AMUNDI INDEX SOLUTIONS PRIME UK MID SMALL CAP UC ETF DR GBP DIS,-,,PRUK,
ARK INVEST UCITS ICAV ENVIRONMENTAL IMPACT 100 UCITS ETF (GBP),-,,LVNG,
BNP PARIBAS ASSET MANAGEMENT LUX SASUSTAINABLE GOVERNMENT BD UCITS ETF EUR,-,,EGBD,
BNP PARIBAS EASY SICAV EUR CORP BOND SRI PAB 7-10Y UCTS ETF ACC,-,,SRC7,
DIMENSIONAL FUNDS ICAV GLBL TARGETED VAL UCITS ETF (USD),-,,DDGT,
FIDELITY UCITS ICAV US QUALITY INCOME UCITS ETF ACC USD,-,,FUSA,
FIRST TRUST GLOBAL FUNDS ICAV EUROZONE ALPHADEX UCITS ETF A EUR ACC,-,,FTEU,
FIRST TRUST GLOBAL FUNDS ICAV FT NYSE ARCA BIOTECH UCT ETF A USD ACC,-,,FBT,
FIRST TRUST GLOBAL FUNDS ICAV US EQUITY INCOME UCITS ETF B USD ACC (GB,-,,UNCU,
FRANKLIN TEMPLETON ICAV FRANKLIN MSCI WLD CATHLC PRNCPLS ETF USD,-,,FIDE,
FRANKLIN TEMPLETON ICAV FTSE CHINA UCITS ETF (USD),-,,FLXC,
FRANKLIN TEMPLETON ICAV SUSTAINABLE EURO GREEN BOND UCITS ETF EU,-,,FLRG,
GLOBAL X ETFS ICAV DEFENCE TECH UCITS ETF USD ACC,-,,ARMR,
GLOBAL X ETFS ICAV GLOBAL X ETFS ICAV AUTONOMOUS & ELECTRIC,-,,DRVG,
GLOBAL X ETFS ICAV HYDROGEN UCITS ETF USD(GBP) ACC,-,,HYGG,
GLOBAL X ETFS ICAV SUPERDIVIDEND UCITS ETF USD ACC,-,,SDIU,
GOLDMAN SACHS ETF ICAV ALPHA ENH EURP EQ ACT UCITS ETF GBP ACC,-,,GQEU,
GOLDMAN SACHS ETF ICAV USD INVESTMENT GRADE CORPORATE BOND ACTI,-,,GIGP,
HANETF ICAV INQQ INDIA INTERNET UCITS ETF ACC GBX,-,,INQP,
HANETF ICAV UKRAINE RECONSTRUCTION UCITS ETF USD,-,,KYIV,
HSBC ETFS PLC EURO STOXX 50 UCITS ETF GBP HGD ACC,-,,H50G,
HSBC ETFS PLC HSBC BBG GLO ESG AGG 1-3 YR BD UCITS ETF,-,,HAGG,
HSBC ETFS PLC HSBC MSCI EM SC SCR USD ACC,-,,HESC,
HSBC ETFS PLC HSBC UK SCREENED EQ ETF GBP (DIST),-,,HUKS,
HSBC ETFS PLC MSCI CHINA UCITS ETF USD ACC (GBP),-,,HCHS,
HSBC ETFS PLC MSCI PACIFIC EX JAPAN UCITS ETF USD,-,,HMXD,
HSBC ETFS PLC NASDAQ GLOBAL CLIMATE TECH UCITS ETF USD,-,,HNCT,
HSBC GLOBAL FUNDS ICAV GLOBAL GOVERNMENT BOND UCITS ETF ETFCH U,-,,HGVU,
IMGP SICAV IMGP DBI MNGD FUTURES FD R USD UCITS ETF,-,,DBMG,
INVESCO MARKETS II PLC INVESCO CHINEXT 50 UCITS ETF ACC,-,,CHNX,
INVESCO MARKETS II PLC IVZ FTSE WLD UCITS ETF DIST,-,,FTWD,
INVESCO MARKETS II PLC MSCI PAC EX JAPAN UNIV SCRND UCT ETF USD,-,,ESPJ,
INVESCO MARKETS II PLC S&P 500 EQUAL WEIGHT UCITS ETF ACC,-,,SPEX,
INVESCO MARKETS II PLC US TREASURY BD 1-3Y UCIT ETF GBP DIS HDG,-,,T3GB,
INVESCO MARKETS II PLC US TREASURY BOND 0-1Y UCITS ETF USD ACC,-,,TRIA,
INVESCO MARKETS III PLC INVESCO RAFI EURP FDMNTL VAL UCT ETF EUR,-,,PSRE,
INVESCO MARKETS PLC INVESCO FINS S&P US SEL SEC UCIT ETF USD,-,,XLFS,
INVESCO MARKETS PLC MSCI WORLD A USD UCITS ETF,-,,MXWS,
INVESCO PHYSICAL MARKETS PLATINUM P-ETC USD,-,,SPPP,
ISHARES EURO HIGH YIELD CORP BD UCITS ETF GBP DI,-,,HIGG,
ISHARES II PLC DW JNES GLB SCREENED ETF USD ACC,-,,IGSU,
ISHARES II PLC ISHS EUR CRP BOND ESG SRI 0-3YR UCITS ET,-,,SUSS,
ISHARES II PLC TIPS 0-5 UCITS ETF USD ACC,-,,TI5A,
ISHARES II PLC USD HIGH YLD CORP BD UCITS ETF GBP DIST,-,,SHYU,
ISHARES III PLC BROAD USD CORP BD UCITS ETF GBP DIS HDG,-,,ICGP,
ISHARES III PLC CORE MSCI WORLD UCITS ETF USD ACC GBP,-,,SWDA,
ISHARES III PLC GLOBAL GOVT BOND UCITS ETF GBP DIST HDG,-,,IGLH,
ISHARES III PLC ISHS BRD EUR HG YLD CRP BD UCT ETF EH1G,-,,EH1G,
ISHARES III PLC MSCI SAUDI ARABIA CAPPED UCT ETF USD DIS,-,,IKSD,
ISHARES III PLC WORLD ENHANCED EQUITY UCITS ETF USD ACC,-,,WOEE,
ISHARES IV PLC EDGE MSCI USA MULTIFAC UCITS ETF USD ACC,-,,IFSU,
ISHARES IV PLC FALLEN ANGELS HY CORP BD UCITS ETF DIST,-,,RISE,
ISHARES IV PLC MSCI CHINA A UCITS ETF USD ACC,-,,IASH,
ISHARES IV PLC SHORT DUR CORP BD UCITS ETF USD DIS,-,,SDIG,
ISHARES IV PLC USD TRSRY BD 20+YR UCITS ETF USD DIST,-,,IDTL,
ISHARES MSCI TAIWAN UCITS ETF USD DIST,-,,IDTW,
