name,isin,symbol,url,keyword
ARK ETF TRUST INNOVATION ETF,-,0H7G,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=nnHCcnkhINA%3D,
LEGAL & GENERAL UCITS ETF PLC CLEAN ENERGY USD ETF,IE00BK5BCH80,RENW,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=S4FzA7ACnHA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
HSBC ETFS PLC HSBC UK SCREENED EQUITY ETF,IE00BKY53D40,HSUK,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=b4v1GWMttyY%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
AMUNDI INDEX SOLUTIONS US CORPORATE BOND UCITS ETF DIST,-,PRUC,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=ikOBMxjkEXc%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
HANETF ICAV INQQ INDIA INTERNET UCITS ETF ACC GBX,-,INQP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=RBVoYYfbtFw%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
MULTI UNITS LUXEMBOURG AMDI US TRSRY BD 1-3Y UCITS ETF DIST,-,US13,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=pwHNMpswtco%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
INVESCO MARKETS II PLC MSCI EUROPE EQUAL WEIGHT UCITS ETF EUR(G,IE000LUZJNI7,MEEQ,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=nAg3sEczCi8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
INVESCO MARKETS II PLC INVESCO FTSE ALL-WORLD UCITS ETF USD ACC,-,FWRA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=Zbqs7nCtYRM%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
GLOBAL X ETFS ICAV SUPERDIVIDEND UCITS ETF USD DIS,IE00077FRP95,SDIV,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=qwFu0qGqEXs%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
VANECK ETFS N.V. GLOBAL REAL ESTATE UCITS ETF (USD),-,TRET,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=r3yk6L%2B8NJA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
