name,isin,url,keyword
BlackRock Balanced Growth Portfolio D Inc,GB00B7FKHX53,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=vbYYks9ljDo%3D&Isin=GB00B7FKHX53&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D15,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BlackRock GF European Value D2 Hedged USD,LU1153585531,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=XZZNf5XVsHk%3D&Isin=LU1153585531&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D17,Invest in this fund within a SIPP or Investment Account
BlackRock MyMap 3 D Acc,GB00BFBFYB71,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=%2BKrjufzNiaE%3D&Isin=GB00BFBFYB71&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D18,Invest in this fund within a SIPP or Investment Account
BlueBay Global Investment Grade Corporate Bond Q Hedged Dis GBP,LU1247883587,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=e7xl6iFdTnQ%3D&Isin=LU1247883587&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D19,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Brown Advisory US Sustainable Growth SI Dis GBP,IE00BG0R3140,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=9IvIOIGd2Xo%3D&Isin=IE00BG0R3140&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D22,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
CT (Lux) Global Corporate Bond ZGH GBP,LU1062008823,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=3CGJITSDzfE%3D&Isin=LU1062008823&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D26,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
CT Global Multi Asset Income ZNA GBP,GB00BNG64558,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Lj3zsg%2B8d54%3D&Isin=GB00BNG64558&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D27,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
CT Responsible UK Income 2 Inc,GB0033144857,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=x3JGpfLUN6I%3D&Isin=GB0033144857&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D28,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
CT UK ZNA GBP,GB00B84PM559,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=wZsb5tIhXzw%3D&Isin=GB00B84PM559&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D29,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Capital Group European Opportunities (LUX) Z EUR,LU2260171942,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=25HCT0Py7Uo%3D&Isin=LU2260171942&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D23,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Carmignac Portfolio Emergents FW GBP Acc,LU0992626720,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=gbutQAO9PoI%3D&Isin=LU0992626720&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D24,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Contrarius Global Balanced Fixed Fee Class,IE00BD87TR32,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Svxhx%2BQR2UM%3D&Isin=IE00BD87TR32&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D25,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
EF WM Global Trend B Acc,GB00B5B7DY91,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=MT6BYaac64A%3D&Isin=GB00B5B7DY91&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D30,Invest in this fund within a SIPP or Investment Account
Evelyn Income Portfolio Clean Dist GBP,IE00BFY1N376,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=7ROFockT%2F%2F8%3D&Isin=IE00BFY1N376&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D31,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
FP Mattioli Woods Passive Balanced C Inc GBP,GB00BNGB2566,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=vu2iFnbMK0g%3D&Isin=GB00BNGB2566&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D36,Invest in this fund within a SIPP or Investment Account
FTF ClearBridge UK Managers' Focus W Acc,GB00B7MPWT49,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=MByvxIwaikY%3D&Isin=GB00B7MPWT49&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D37,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Federated Hermes Asia ex-Japan Equity F2 Dis GBP,IE00B84WGD25,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=RO3MGcJ5fsE%3D&Isin=IE00B84WGD25&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D31,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Fidelity Emerging Markets Equity ESG W Inc GBP,LU1937123476,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=kXmDwNORzJE%3D&Isin=LU1937123476&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D32,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Fidelity Index Emerging Markets P Inc,GB00BP8RYT47,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=izYdpS5DWek%3D&Isin=GB00BP8RYT47&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D33,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Fidelity Open World W Acc,GB00BC7GXN87,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=1gt2FTLzArY%3D&Isin=GB00BC7GXN87&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D34,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Fortem Capital Absolute Return S Acc GBP,IE000EL0KGR9,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=ZWrA9Jd8owQ%3D&Isin=IE000EL0KGR9&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D35,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
GAM Star Global Flexible Z Hdg Acc GBP,IE00B8GJSM47,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=3JIruKMlBd4%3D&Isin=IE00B8GJSM47&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D39,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
GS Global Future Generations Equity Portfolio R GBP,LU1336753378,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=HH9H9MwHBpM%3D&Isin=LU1336753378&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D40,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
