name,isin,url,keyword
7IM AAP Cautious C Inc,GB00BMXV7D57,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=WP0nuxYQ4fA%3D&Isin=GB00BMXV7D57&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
7IM Moderately Adventurous C Acc,GB0033956516,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=GCLZY0ncflo%3D&Isin=GB0033956516&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
7IM Pathbuilder 4 C Acc,GB00BMDPCC16,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=MeDxr12jeVc%3D&Isin=GB00BMDPCC16&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AB Global Dynamic Bond Portfolio I2 GBP,LU1005411068,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=13aM8w41AFI%3D&Isin=LU1005411068&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,Invest in this fund within a SIPP or Investment Account
AB Select US Equity Portfolio IH GBP,LU0683601297,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=P8e%2FerO2QKg%3D&Isin=LU0683601297&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,Invest in this fund within a SIPP or Investment Account
AXA Global High Yield Z Gr Acc,GB00B29NGF01,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=ptUeDIZ0Q7c%3D&Isin=GB00B29NGF01&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AXA Lifetime Distribution Z Acc,GB00BYVDW547,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=XOMqPo94MBk%3D&Isin=GB00BYVDW547&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,Invest in this fund within a SIPP or Investment Account
AXA Sterling Credit Short Duration Bond Z Gr Acc,GB00B5L2N222,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=wZPBSdvlNYM%3D&Isin=GB00B5L2N222&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
AXA World Funds - Sustainable Equity QI F Cap EUR,LU1774150145,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=Tfng%2FZfIkgc%3D&Isin=LU1774150145&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,Invest in this fund within a SIPP or Investment Account
BNY Mellon Responsible Horizons UK Corporate Bond Inst W Acc GBP,GB00B8KDLX41,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=i6evg%2FKm%2Fxs%3D&Isin=GB00B8KDLX41&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D21,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BNY Mellon US Equity Income Inst W Acc,GB00BGV53H32,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=NtQgBj3%2Faa0%3D&Isin=GB00BGV53H32&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D21,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Baillie Gifford China B Acc,GB00B39RMM81,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=cy81gyZgAx8%3D&Isin=GB00B39RMM81&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays Global Markets Defensive R Dis GBP,GB00B5346P09,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=QUhWOpSVJjU%3D&Isin=GB00B5346P09&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays GlobalAccess Europe (ex-UK) Alpha I Hedged Acc USD,IE00B5WBVB38,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=MHh1Wk4uXxw%3D&Isin=IE00B5WBVB38&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays GlobalAccess Global Equity Income M Dis USD,IE00B3N4GH89,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=fOFoHUhhHOg%3D&Isin=IE00B3N4GH89&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays GlobalAccess UK Opportunities M Dis GBP,IE00B01VBC06,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=V5EHJdhBm0w%3D&Isin=IE00B01VBC06&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays Multi-Asset Cautious Income R Dis,GB00B3TJ5697,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=f8SeVal0ncI%3D&Isin=GB00B3TJ5697&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D14,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays Sterling Corporate Bond R Dis GBP,GB00B6SPRV88,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=WtTU7%2FyhO70%3D&Isin=GB00B6SPRV88&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D14,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barings Asia Growth I Acc Nav GBP,IE00B3BC9W00,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=hlXQwrpPO4w%3D&Isin=IE00B3BC9W00&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D14,Invest in this fund within a SIPP or Investment Account
Barings Emerging Market Debt Blended Total Return C Acc GBP,IE00BSL73W81,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=N5NimeUkrLo%3D&Isin=IE00BSL73W81&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D14,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barings Europe Select J Inc GBP,IE00BG7PJH91,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=FGXuQ9yJkWc%3D&Isin=IE00BG7PJH91&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D14,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
