name,isin,ticker,url,keyword
Aberdeen Equity Income Trust PLC,GB0006039597,AEI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=jjrejrQj9dQ%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Albion Crown Vct PLC,GB00BSPT6546,CRWC,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=kJ9S%2FeBYpvw%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Artemis UK Future Leaders PLC,GB00B1FL3C76,AFL,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=ZKOYngm5hv8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Baillie Gifford Japan Trust (The) PLC,GB0000485838,BGFD,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=aIAChyGSscA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Big Yellow Group PLC,GB0002869419,BYG,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=LGM%2BA7dnh8w%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
BlackRock Smaller Companies Trust PLC,GB0006436108,BRSC,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=RWSsLySyBxk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Caledonia Investments PLC,GB00BTNQ8K38,CLDN,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=GKicwuGVxv8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Cordiant Digital Infrastructure Ltd,GG00BMC7TM77,CORD,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=bJXXk9S6xPU%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
CT UK High Income Trust PLC,GB00B1N4H594,CHIB,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=wjati4Jzc04%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Edinburgh Investment Trust (The) PLC,GB0003052338,EDIN,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=JGEUpXdkxg4%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Fidelity Emerging Markets Ltd,GG00B4L0PD47,FEML,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=w76%2Fq7IvjBw%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Franklin Global Trust PLC,GB0005372411,FRGT,,
Great Portland Estates PLC,GB00BF5H9P87,GPE,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=ZgpdnPKw0yo%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Ground Rents Income Fund PLC,GB00B715WG26,GRIO,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=F50jzJ8uBQc%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Herald Investment Trust PLC,GB0004228648,HRI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=rChgFIWU7aY%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Invesco Asia Dragon Trust PLC,GB0004535307,IAD,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=dWuUXbq3rEk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
JPMorgan Emerging Markets Growth & Income PLC,GB00BMXWN182,JMGI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=W4kbR3Drd1o%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
KCR Residential REIT PLC,GB00BYWK1Q82,KCR,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=Bfja6dNfjjQ%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
M&G Credit Income Investment Trust PLC,GB00BFYYL325,MGCI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=arxQ6fO8AQo%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Maven Income & Growth VCT4 PLC,GB00B043QW84,MAV4,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=uiDRQYCJE1g%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Montanaro European Smaller Companies Trust PLC,GB00BM8H3X05,MTE,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=gElc6l5wu7w%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
North Atlantic Smaller Companies Inv Trust PLC,GB00BRDXZ870,NAS,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=K1JZOCnKOGw%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Octopus Renewables Infrastructure Trust PLC,GB00BJM02935,ORIT,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=nG9r4cNOPzs%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Pacific Horizon Investment Trust PLC,GB0006667470,PHI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=IECKtW2u78k%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Phoenix Spree Deutschland Ltd,JE00B248KJ21,PSDL,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=EE15FrIX8K4%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
