name,isin,symbol,url
LEGAL & GENERAL UCITS ETF PLC L&G CHINA CNY BOND UCITS ETF (GBP),,DRGG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=S%2F8QgjOr09o%3D
LEGAL & GENERAL UCITS ETF PLC ROBO GLOBAL ROB&AUTO GO UCITS ETF (USD),,ROBO,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=IgLWV%2BxOQN4%3D
LEGAL & GENERAL UCITS ETF PLC L&G CHINA CNY BOND UCITS ETF (USD),,DRGN,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=1lpZEcjVCbg%3D
LEGAL & GENERAL UCITS ETF PLC INDIA INR GOVRNMENT BD UCITS ETF USD(GBP,,TIGG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=7KqCiQNLKTI%3D
LEGAL & GENERAL UCITS ETF PLC L&G EM EQUITY UCITS ETF USD ACC,,REAG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=B3CyHn7LOqg%3D
LEGAL & GENERAL UCITS ETF PLC ROBO GLOBAL ROB&AUTO GO UCITS ETF (GBP),,ROBG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=w8E6OIi77GU%3D
LEGAL & GENERAL UCITS ETF PLC ROBO GLOBAL ROB&AUTO GO UCITS ETF (EUR),,ROBE,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=vaiVAftmoYo%3D
GOLDMAN SACHS ETF ICAV MSCI WLD PRVT EQ RTN TCKR UCITS ETF USD,,GSPE,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=b%2B8ERnoiHRE%3D
UBS (IRL) ETF PLC UBS MSCI PACIFIC EX JAP IMI SRI ETF USD,,PEX,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=mr1E4kZgKBo%3D
GOLDMAN SACHS ETF ICAV GS ALPHA ENH US EQ ACTV UCITS ETF USDACC,,GQUS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=WlChdOEHI8o%3D
GOLDMAN SACHS ETF ICAV ALPHA ENH US EQ ACTIVE UCITS ETF GBP ACC,,GSQU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=eDRj0i8bHsw%3D
GOLDMAN SACHS ETF ICAV ALPHA ENH WORLD EQ ACT UCITS ETF GBP ACC,,GSWD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=Nm3ZPXfU3Io%3D
GOLDMAN SACHS ETF ICAV ALPHA ENH EURP EQ ACT UCITS ETF GBP ACC,,GQEU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=DxOATM2D6IQ%3D
LEGAL & GENERAL UCITS ETF PLC L&G DIGITAL PAYMENTS UCITS ETF USD ACC (,,DPAG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=4bmJ%2Fb8o7zI%3D
LEGAL & GENERAL UCITS ETF PLC EUROPE EX UK EQTY UCITS ETF EUR ACC,,LGEU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=ql3qeiMbPy4%3D
LEGAL & GENERAL UCITS ETF PLC USD CORP BOND SCEENED UCITS ETF EUR DIS,,USDC,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=AfWGrCdtmEw%3D
LEGAL & GENERAL UCITS ETF PLC USD CORP BOND SCEENED UCITS ETF EUR DIS,,USDG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=fSciI6hPzTg%3D
LEGAL & GENERAL UCITS ETF PLC RUSSELL 2000 SM CAP QTY UCITS ETF USD,,RTWO,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=1LFePJ%2FcjuU%3D
LEGAL & GENERAL UCITS ETF PLC RUSSELL 2000 SM CAP QTY UCITS ETF GBP,,RTWP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=MG8x8XJbZOM%3D
UBS (IRL) ETF PLC S&P 500 ESG ELITE ETF A DIS HDG TO GBP,,S5EG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=jRdcorcBKSs%3D
LEGAL & GENERAL UCITS ETF PLC INDIA INR GOVRNMENT BD UCITS ETF USD DIS,,TIGR,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=1kyOKdPjfjU%3D
VANECK UCITS ETFS PLC VNCK UC ETFS GBL FLN ANGL HY UC ETF AGBP,,GFGB,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=AKE3Lbm5X5I%3D
M&G (IRELAND) ETF ICAV M&G US TREASURY BND ACTIVE UCITS ETF GBP,,MUSP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=7TBqbd3yBlg%3D
M&G (IRELAND) ETF ICAV M&G US TREASURY BOND ACTIVE UCITS ETF GH,,MUSS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=D52j47F5bMU%3D
M&G (IRELAND) ETF ICAV M&G US TREASURY BND ACTIVE UCITS ETF USD,,MUSA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=UQDFVcV6g0c%3D
VANECK UCITS ETFS PLC VNCK UC ETFS MS GBL WD MOAT UC ETF A GBP,,GOGB,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=fd0UIhU2kgU%3D
GLOBAL X ETFS ICAV SILVER MINERS UCITS ETF USD(GBP) ACC,,SILG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=a7Blm%2Fr29vo%3D
HSBC ETFS PLC S&P 500 UCITS ETF USD ACC (GBP),,HSPS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=d2K34meToKE%3D
GLOBAL X ETFS ICAV CLEAN WATER UCITS ETF USD(GBP) ACC,,AQWG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=CfcEp8dl91c%3D
GLOBAL X ETFS ICAV COPPER MINERS UCITS ETF USD(GBP) ACC,,COPG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=cnINoIZGAwU%3D
GLOBAL X ETFS ICAV WIND ENERGY UCITS ETF USD(GBP) ACC,,WNDG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=lrYB4KrAjoM%3D
GLOBAL X ETFS ICAV S&P500 QUARTERLY BUFFER UCITS ETF USD,,SPQB,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=sJOE0kAT99I%3D
GLOBAL X ETFS ICAV S&P500 QUARTERLY BUFFER UCITS ETF USD,,SQBP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=yMwjBjwXL1g%3D
VANECK UCITS ETFS PLC VANECK DIVIDEND LEADERS EX-US UCITS ETF,,TDVX,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=KrW1Q5bMzUU%3D
JPMORGAN ETFS (IRELAND) ICAV EUR ULTRA-SHORT INCOME ACTIVE UCITS ETF,,JESD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=%2BEYIxOIKrEU%3D
GLOBAL X ETFS ICAV DEFENCE TECH UCITS ETF USD(GBP) ACC,,ARMG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=DwXQnpUgLH4%3D
XTRACKERS FTSE 100 UCITS ETF,,XUKX,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=pTl13ZNRTlU%3D
