name,isin,ticker,url,keyword
Aberforth Smaller Companies Trust PLC,GB0000066554,ASL,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=dfaPV4tvvz8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Albion Technology & General VCT PLC,GB0005581672,AATG,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=JxvFuhQIdUY%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Athelney Trust PLC,GB0000609296,ATY,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=tgWDWMVUiHs%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Baillie Gifford US Growth Trust PLC,GB00BDFGHW41,USA,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=zRoqimzoY18%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Blackfinch Spring VCT PLC,GB00BKV46W45,BFSP,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=jDvB9hAOn1I%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
British & American Investment Trust PLC,GB0000653112,BAF,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=87te%2BYg6jl8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Castelnau Group Ltd,GG00BMWWJM28,CGL,,
Crystal Amber Fund Ltd,GG00B1Z2SL48,CRS,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=rafoHtwvrv8%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
DCI Advisors Ltd,GG00BSWT8V72,DCI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=WbtxX7bdcDk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
EPE Special Opportunities Ltd,,ESO,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=cbfcRVJP6mA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Finsbury Growth & Income Trust PLC,GB0007816068,FGT,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=GTkprd%2FvMQw%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
GCP Infrastructure Investments Ltd,JE00B6173J15,GCP,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=QkMPRjmtLZk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Gresham House  Renewable Energy VCT 2 PLC,GB00B43GVJ82,GV2O,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=QPMUY6tAkKE%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Hansa Investment Company Ltd,,HAN,,
Home Reit PLC,GB00BJP5HK17,HOME,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=%2Fd%2Fa%2BogDALg%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Investment Company (The) PLC,GB00BV4FKD05,INV,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=t1rD7l%2BP1oI%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
JPMorgan Global Core Real Assets Ltd,GG00BWPKR307,JARA,,
Law Debenture Corp (The) PLC,GB0031429219,LWDB,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=SSG47S6dNiQ%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Manchester & London Investment Trust PLC,GB0002258472,MNL,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=cKEkG0umE2I%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Merchants Trust (The) PLC,GB0005800072,MRCH,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=iy8LKnxKl1E%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Murray International Trust PLC,GB00BQZCCB79,MYI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=PJb5nBNjlpk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Northern Venture Trust PLC,GB0006450703,NVT,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=hPil%2Bw7Nbfk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Onward Opportunities Ltd,GG00BMZR1514,ONWD,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=S%2B5fS6vNIaQ%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Pantheon International PLC,GB00BP37WF17,PIN,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=XVfwzdtpP50%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Polar Capital Global Healthcare Trust PLC,GB00B6832P16,PCGH,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=fSECcoNnDwQ%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Real Estate Investors PLC,GB00B45XLP34,RLE,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=TyKFxXurdOA%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Safestore Holdings PLC,GB00B1N7Z094,SAFE,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=tTSEuz%2Bf8WQ%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Schroder Real Estate Investment Trust Ltd,GB00B01HM147,SREI,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=AILHA764C04%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Seneca Growth Capital VCT PLC B,GB00BG13MH08,SVCT,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=ecd1H5WuPDk%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Syncona Ltd,GG00B8P59C08,SYNC,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=2CponVIxz68%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
Town Centre Securities PLC,GB0003062816,TOWN,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=4yURwWmKMn4%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
US Solar Fund PLC,GB00BJCWFX49,USFP,,
Worldwide Healthcare Trust PLC,GB00BN455J50,WWH,https://www.charles-stanley-direct.co.uk/ViewInvestment?InvestmentId=b8gyFgUiepw%3D,"Invest in this share within an ISA, JISA, SIPP or Investment Account"
