name,isin,symbol,url
XTRACKERS (IE) PLC GLOBAL SDG 6 WATER UCITS ETF,,SDG6,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=kT2P%2BhN43SA%3D
MULTI UNITS FRANCE AMUNDI MSCI WATER UCITS ETF DIST,,WATU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=nQ7xnZ406S0%3D
WISDOMTREE ISSUER ICAV BROAD COMMODITIES UCITS ETF USD ACC,,PCOM,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=Bc9uw%2B7F3bo%3D
VANGUARD FUNDS PLC FTSE 250 UCITS ETF GBP DIS,,VMID,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=4DlFyNCJzWc%3D
ISHARES USD TREASURY BD UCITS ETF GBP DIS HDG,,GOVP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=LspB6HU6TJ4%3D
ARK INVEST UCITS ICAV INNOVATION UCITS ETF USD ACC,,ARKK,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=5zxeoZugJRw%3D
HANETF ICAV GOLD MINERS SCREENED UCITS ETF USD ACC,,ESGO,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=SybupQGagg0%3D
HANETF ICAV GOLD MINERS SCREENED UCITS ETF USD ACC,,ESGP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=uK6IZzbYQ9M%3D
HANETF ICAV US GBL INVESTORS TRAVEL UCITS ETF USD,,TRYP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=uVF9lr67Yjo%3D
HANETF ICAV US GBL INVESTORS TRAVEL UCITS ETF USD,,TRIP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=kfv19e97evA%3D
XTRACKERS (IE) PLC MSCI EMERGING MKTS ESG UCITS ETF,,XESE,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=UV5UWVX6BJI%3D
AMUNDI INDEX SOLUTIONS PRIME EMERGING MKTS UCITS ETF USD,,PRAM,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=VBwkDhXQyco%3D
XTRACKERS II EUROZONE GOVERNMENT BOND UCITS ETF 2D GB,,XGLB,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=eGaWCPjPJa0%3D
FRANKLIN TEMPLETON ICAV FRK FTSE TAIWAN UCITS ETF USD,,FLXT,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=sr8jB6v2bUU%3D
HANETF ICAV INQQ INDIA INTERNET UCITS ETF USD ACC,,INQQ,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=FYVe67LYhcQ%3D
HANETF ICAV INQQ INDIA INTERNET UCITS ETF ACC GBX,,INQP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=RBVoYYfbtFw%3D
AB SICAV I GLOBAL CORP BOND PORTFOLIO UCITS ETF,,GLIG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=44tgG%2FRBeyQ%3D
FRANKLIN TEMPLETON ICAV FRK MSCI CH PARIS UCITS ETF,,CHPA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=hyCUniSpetM%3D
WISDOMTREE ISSUER ICAV US QUALITY DIVIDEND GROWTH UCITS ETF,,DGRB,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=NanBBVlihKg%3D
HANETF ICAV GOSHAWK GLOBAL BAL UCITS ETF USD ACC,,ROES,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=4JcuYKlOTbA%3D
HANETF ICAV GOSHAWK GLOBAL BAL UCITS ETF USD ACC,,ROE,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=HFdtroScioI%3D
MULTI UNITS LUXEMBOURG AMUNDI MSCI MILENNIALS UCITS ETF ACC,,MILL,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=9vrQBnlaW9I%3D
AMUNDI INDEX SOLUTIONS US CORPORATE BOND UCITS ETF DIST,,PRUC,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=ikOBMxjkEXc%3D
WISDOMTREE ISSUER ICAV WISDOMTREE CLOUD COMPUTING UCITS ETF USD,,WCLD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=mnkYiZLD7wI%3D
WISDOMTREE ISSUER ICAV WISDOMTREE CLOUD COMPUTING UCITS ETF USD,,KLWD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=cfpyxo1Mkn0%3D
ISHARES VII PLC MSCI CANADA UCITS ETF USD (ACC),,CCAU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=RSmcLl4PWk8%3D
ISHARES ISHARES CORE MSCI EMG MKTS IMI UCITS ETF,,EMGU,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=Hsn7Cl43AOA%3D
ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,,EMIM,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=RFps3gsuzEU%3D
ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,,EIMI,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=giIN6qk83Gk%3D
HANETF II ICAV YIELDMAX FUTURE DEFENCE OPTION ETF GBX,,NATI,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=d1cJ3YpyQ7g%3D
MULTI UNITS FRANCE AMUNDI FTSE MIB UCITS ETF DIST,,MIBX,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=jTSupaPvBsE%3D
FRANKLIN TEMPLETON ICAV FRK MSCI CH PARIS UCITS ETF,,PABC,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=SYM7nU718Nw%3D
FRANKLIN TEMPLETON ICAV FRK MSCI EM PARIS UCITS ETF,,EMPR,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=WDhc21bPOM0%3D
HANETF ICAV SPROTT COPPER MINERS UCITS ETF ACC GBX,,COPP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=LyZwnoPSzGU%3D
XTRACKERS (IE) PLC MSCI USA POSITIONING SCREENED UCITS ETF,,XUCA,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=d0devXCEB9M%3D
ISHARES IV PLC ISHRS MSCI EUMC EQW UCTS ETF,,IEFS,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=ZmX5LHkhu8A%3D
HANETF ICAV SPROTT JUNIOR URANIUM MINERS UCITS ETF U,,URJP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=NV6aGbogcHE%3D
WISDOMTREE ISSUER ICAV GLOBAL SUSTAINABLE EQUITY UCITS ETF USD,,WSDG,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=5q0kQW%2B1IKk%3D
ISHARES IV PLC MSCI GLOBAL SEMICONDUCTORS UCITS ETF USD,,SEMI,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=6BJVK8UzLPo%3D
