name,isin,url,keyword
AB Concentrated US Equity Portfolio I GBP,LU1934454114,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=2EvEAD2eRYE%3D&Isin=LU1934454114&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,Invest in this fund within a SIPP or Investment Account
AXA Framlington Global Technology Z Inc,GB00B5MQXC30,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=X1LU9YLgct4%3D&Isin=GB00B5MQXC30&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D10,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Aberdeen Standard Short Dated Enhanced Income Fund X Hedged Acc GBP,LU2698064941,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=G%2B%2F5z1rqeRA%3D&Isin=LU2698064941&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D2,Invest in this fund within a SIPP or Investment Account
Algebris Financial Credit ID Inc GBP,IE00B8DD4P49,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=9Q4uOanFPHw%3D&Isin=IE00B8DD4P49&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D6,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Amundi European Equity Value J3 GBP,LU2052286916,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=WQ7iyLe3vCM%3D&Isin=LU2052286916&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D7,Invest in this fund within a SIPP or Investment Account
Artemis Income I Inc,GB00B2PLJJ36,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=riNYIb681RI%3D&Isin=GB00B2PLJJ36&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D8,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Atlas Global Infrastructure A Unhedged GBP,IE00BF6X3080,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=xqFAhhKy7G8%3D&Isin=IE00BF6X3080&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D9,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Aviva Investors Multi Strategy Target Return Rah GBP,LU1318336440,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=4MW1wECJN5I%3D&Isin=LU1318336440&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D10,Invest in this fund within a SIPP or Investment Account
BNY Mellon Global Credit W Hedged Acc GBP,IE00BYZW5P87,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=J24S2P5ALi4%3D&Isin=IE00BYZW5P87&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D20,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BNY Mellon Responsible Horizons UK Corporate Bond Inst W Acc GBP,GB00B8KDLX41,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=i6evg%2FKm%2Fxs%3D&Isin=GB00B8KDLX41&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D21,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Baillie Gifford Long Term Global Growth Investment B Inc,GB00BD5Z1070,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=XKtK2IGaSr8%3D&Isin=GB00BD5Z1070&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D12,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barclays GlobalAccess Europe (ex-UK) Alpha M Hedged Acc GBP,IE00B5M1JY28,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=7TwCVx6KkjM%3D&Isin=IE00B5M1JY28&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D13,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barings Barings Income Navigator A Inc GBP,IE00BMNQLM72,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=ZXyfKuADKCQ%3D&Isin=IE00BMNQLM72&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D14,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Barings Korea Trust I Inc GBP,GB00B8DD3Y69,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=VzuQIh0c%2FvY%3D&Isin=GB00B8DD3Y69&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D15,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
