name,isin,symbol,url,keyword
ISHARES V PLC S&P 500 INFO TECH SECT UCITS ETF USD ACC,-,,IUIT,
ISHARES VI PLC EDGE MSCI EM MIN VOL UCITS ETF USD ACC,-,,EMMV,
ISHARES VI PLC ISHARES MSCI USA SWAP UCT ETF GBP HGDDIS,-,,MUSG,
ISHARES VII PLC CORE MSCI PAC EX-JPN UCITS ETF USD ACC,-,,CPJ1,
ISHARES VII PLC ISHARES MSCI EM ASIA UCITS ETF USD (ACC),-,,CEMA,
ISHARES VII PLC MSCI JAPAN UCITS ETF(ACC),-,,CSJP,
ISHARES VII PLC USD TSY BD 1-3YR UCITS ETF USD (ACC),-,,CU31,
JANUS HENDERSON TABULA FUND JH EUR AAA CLO ACTIVE ETF GBPHD,-,,JCLS,
JPMORGAN ETFS (IRELAND) ICAV BETABUILDERS US EQUITY UCITS ETF USD DIS,-,,BBDD,
JPMORGAN ETFS (IRELAND) ICAV EUR AGGREGATE BOND ACTIVE UCITS ETF EUR,-,,JEAA,
JPMORGAN ETFS (IRELAND) ICAV GLOBAL EM RESEARCH ENHANCED INDEX EQUITY,-,,JSMD,
JPMORGAN ETFS (IRELAND) ICAV JPM CHINA A RES ENH IDX EQ ACTV UCT ETF,-,,JRCE,
JPMORGAN ETFS (IRELAND) ICAV JPM GBL RES ENH IDX EQ ACTV UCT ETF USD,-,,JGRE,
JPMORGAN ETFS (IRELAND) ICAV JPM US REI SRI PA UCITS ETF USD ACC,-,,JSUE,
JPMORGAN ETFS (IRELAND) ICAV NASDAQ EQ PREM INC ACT UCT,-,,JEQA,
JPMORGAN ETFS (IRELAND) ICAV US HDG EQUITY LADDERED OVERLAY ACTIVE UC,-,,HELO,
LEGAL & GENERAL UCITS ETF PLC ARTIFICIAL INTELLIGENCE GBP ETF,-,,AIAG,
LEGAL & GENERAL UCITS ETF PLC HYDROGEN ECONOMY UCITS ETF USD ACC,-,,HTWO,
LEGAL & GENERAL UCITS ETF PLC L&G DIGITAL PAYMENTS UCITS ETF USD ACC (,-,,DPAG,
LEGAL & GENERAL UCITS ETF PLC L&G GOLD MINING UCITS ETF USD,-,,AUCO,
LEGAL & GENERAL UCITS ETF PLC MSCI EUROPE CLIMATE PATHWAY UCITS ETF EU,-,,RIEU,
LEGAL & GENERAL UCITS ETF PLC US EQUITY UCITS ETF USD ACC,-,,LGUS,
MULTI UNITS FRANCE AMUNDI EURO STOXX 50 II UCITS ETF,-,,MSEU,
MULTI UNITS LUXEMBOURG AMDI MSCI SMART MBLTY UCITS ETF ACC,-,,MOBI,
MULTI UNITS LUXEMBOURG AMUNDI CORE FTSE 100 SWAP UCITS ETF ACC,-,,L100,
MULTI UNITS LUXEMBOURG AMUNDI GBL AGGREGATE GN BD UCITS ETF ACC,-,,CLIM,
MULTI UNITS LUXEMBOURG AMUNDI MSCI KOREA UCITS ETF ACC,-,,KRWL,
MULTI UNITS LUXEMBOURG EUR CRPRTE BD CLMTE PRIS ALGD U ETF AC,-,,CRPX,
PACER ETFS ICAV US CASH COWS 100 UCITS ETF A USD,-,,COWZ,
ROBECO UCITS ICAV 3D GLOBAL EQUITY UCITS ETF USD ACC UNHDG,-,,3DGG,
SSGA SPDR ETFS EUROPE I PLC SPDR BB 1 0 + YR US TREAS BOND UCITS ETF,-,,LUTR,
SSGA SPDR ETFS EUROPE I PLC SPDR S&P 500 LEADERS UCITS ETF USD,-,,500X,
SSGA SPDR ETFS EUROPE I PLC SS SPDR BLOOM EURO HY BOND UCITS,-,,JNKE,
SSGA SPDR ETFS EUROPE I PLC SS SPDR MSCI WORLD GBP HDG UCITS E,-,,SWLH,
SSGA SPDR ETFS EUROPE I PLC ST ST WLD SML CAP ENH ACTV EQ UCITS ETF,-,,SWSC,
SSGA SPDR ETFS EUROPE II PLC SPDR MSCI WLD ENGY UCITS ETF,-,,WNRG,
SSGA SPDR ETFS EUROPE II PLC SS SPDR MSCI WORLD HEALTH CARE U,-,,WHEA,
SSGA SPDR ETFS EUROPE II PLC SS SPDR S&P US FINS SEL SCTR UCS ETF EUR,-,,SXLF,
UBS (IRL) ETF PLC S&P 500 SCRD & SCR UCT ETF A GBP HGD DIS,-,,5ESG,
UBS (IRL) ETF PLC UBS MSCI USA PRIME VAL SCRND ETF USD,-,,UC96,
UBS (IRL) FUND SOLUTIONS PLC UBS BBG COMM CMCI SF UCITS ETF USD ACC,-,,UD07,
UBS (LUX) FUND SOLUTIONS SICAV UBS BBG TIPS 1-10 UCITS ETF,-,,UBTS,
UBS (LUX) FUND SOLUTIONS SICAV UBS CORE MSCI EMU ETF HGBP DIS,-,,UB0F,
UBS (LUX) FUND SOLUTIONS SICAV UBS M JPN SOC RESPON ETF A DIS JPY,-,,JPSR,
VANECK ETFS N.V. MSTAR DEVLP MKTS LARGE CAP DIV LEADER SC,-,,TDGB,
VANECK UCITS ETFS PLC MS US SMID MOAT UCITS ETF A USD GBP ACC,-,,SMTV,
VANECK UCITS ETFS PLC VANECK MRNGSTR US ESG WIDE MOAT UCT ETF,-,,MOGB,
VANGUARD FUNDS PLC ESG GBL CORP BD UCITS ETF GBP HGD ACC,-,,V3GS,
VANGUARD FUNDS PLC FTSE ALL WLD HIGH DIV YLD UCITS ETF USD,-,,VHYD,
VANGUARD FUNDS PLC FTSE DEVELOPED WORLD UCITS ETF GBP ACC,-,,VHVG,
VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS,-,,VUSD,
VANGUARD FUNDS PLC USD EMG MKTS GOVT BD UCITS ETF USD DIS,-,,VEMT,
WAYSTONE ETF ICAV NORTHERN TRUST LISTED PRIV EQ UCITS ETF,-,,FLPE,
WISDOMTREE ISSUER ICAV NEW ECONOMY REAL ESTATE UCITS ETF USDACC,-,,WTRE,
WISDOMTREE ISSUER ICAV WISDOMTREE AT1 COCO BD UCITS ETF USD DIS,-,,CCBO,
WISDOMTREE ISSUER ICAV WISDOMTREE EURP EQTY INC UCITS ETF EUR,-,,EEIE,
WISDOMTREE ISSUER ICAV WISDOMTREE GBL QTY DIV GTH UCITS ETF USD,-,,GGRP,
WISDOMTREE ISSUER ICAV WISDOMTREE US QLTY DIV GTH UCITS ETF USD,-,,DGRA,
XTRACKERS (IE) PLC ESG USD EM MKTS BD QL WEIGH U ETF 1D USD,-,,XQUA,
XTRACKERS (IE) PLC MSCI JAPAN ESG UCITS ETF IC GBP,-,,XESJ,
XTRACKERS (IE) PLC MSCI WLD ESG UCITS ETF 1C USD,-,,XZW0,
XTRACKERS (IE) PLC MSCI WORLD MIN VOL ESG UCITS ETF 1C,-,,XWBS,
XTRACKERS (IE) PLC NASDAQ 100 UCITS ETF 1C USD,-,,XNAS,
XTRACKERS (IE) PLC USD CORPORATE BOND SRI PAB UCITS ETF,-,,XZBD,
XTRACKERS (IE) PLC XTRACKERS MSCI JPN SCREENED UCITS ETF 4C,-,,XDNU,
XTRACKERS DB TRACKERS CSI300 INDEX ETF 1 USD ACC,-,,XCHA,
XTRACKERS II EUR HIGH YLD CORP BD UCITS ETF 1D,-,,XHYG,
XTRACKERS II US TREASURIES 7-10 UCITS ETF 1D USD,-,,XU10,
XTRACKERS MSCI CHINA UCITS ETF (GBP) (DR),-,,XCX6,
XTRACKERS MSCI EURO SMALL CAP UCITS ETF 1C,-,,XXSC,
XTRACKERS MSCI MALAYSIA UCITS ETF (DR) GBP,-,,XCX3,
XTRACKERS NIFTY 50 SWAP UCITS ETF 1C,-,,XNIF,
XTRACKERS XTRACKERS MSCI JAPAN UCT ETF 1C USD ACC,-,,XMJP,
