name,isin,url,keyword
7IM Balanced C Acc,GB0033959742,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=mRTHfzdORkM%3D&Isin=GB0033959742&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D1,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
ARC TIME Property Long Income & Growth PAIF O Inc GBP,GB00BMH81Z28,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=mqNCgz%2FUud4%3D&Isin=GB00BMH81Z28&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D7,Invest in this fund within a SIPP or Investment Account
AXA People & Planet Equity Z Acc,GB00B4490M25,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=8kC1CiuPiCI%3D&Isin=GB00B4490M25&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D11,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Aegon High Yield Global Bond B Hedged Inc GBP,IE00B296WQ21,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=WYx9uSZM3Js%3D&Isin=IE00B296WQ21&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D5,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Alma Platinum Selwood Absolute Return Credit I1C-G,LU1769346625,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=DepA7hHmTHQ%3D&Isin=LU1769346625&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D6,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Artemis Funds (Lux) - Short-Dated Global High Yield Bond FI Hedged Acc GBP,LU1988889231,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=4jsaQviWicQ%3D&Isin=LU1988889231&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D8,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Artemis US Select I Inc GBP,GB00BWWZ2D39,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=aOU0i5PvXMA%3D&Isin=GB00BWWZ2D39&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D9,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
Aviva Inv Multi-asset Income 2,GB0030442320,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=SEOiLvrqWec%3D&Isin=GB0030442320&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D10,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BNY Mellon Emerging Markets Debt Local Currency W Inc GBP,IE00B91ZP895,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=lx41PgYyqfU%3D&Isin=IE00B91ZP895&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D19,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
BNY Mellon Long Term Global Equity Inst W Inc GBP,GB00B7V94793,https://www.charles-stanley-direct.co.uk/ViewFund?InvestmentId=X7qjr3mpUpo%3D&Isin=GB00B7V94793&PreviousSearchResults=%2FInvestmentSearch%2FSearch%3FSearchType%3DKeywordSearch%26Category%3DFunds%26SortColumn%3DName%26SortDirection%3DAsc%26Pagesize%3D50%26Page%3D20,"Invest in this fund within an ISA, JISA, SIPP or Investment Account"
