name,isin,symbol,url
XTRACKERS MSCI EURO UCITS ETF 1C,,XMED,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=6%2BFt1uK9KQk%3D
XTRACKERS MSCI JAPAN UCITS ETF 1C,,XMJD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=yzG4Y8lMvP8%3D
XTRACKERS MSCI BRAZIL UCITS ETF 1C,,XMBD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=eKsJ9jYKHfY%3D
XTRACKERS MSCI KOREA UCITS ETF 1C,,XKSD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=Cye8G7ZE11U%3D
XTRACKERS NIKKEI 225 UCITS ETF 1D,,XDJP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=M6%2BuXw6ap2w%3D
XTRACKERS MSCI TAIWAN UCITS ETF 1C,,XMTD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=73PPF6Q0%2BdY%3D
ISHARES TRUST US AEROSPACE & DEFENSE ETF,,0JJD,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=oNaeK1ryDZ8%3D
XTRACKERS NIFTY 50 UCITS ETF - 1C,,XNID,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=4OcTqLxAgDY%3D
JPMORGAN ETFS (IRELAND) ICAV BETABUILD US TREASURY BD 0-3 ETF USD ACC,,BB3M,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=3Xy7b3FTgWw%3D
JPMORGAN ETFS (IRELAND) ICAV BETABUILD US TREASURY BD 0-3 ETF GBP ACC,,BBM3,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=jgW35HYC8UM%3D
GLOBAL X ETFS ICAV S&P 500 ANNUAL BUFFER UCITS ETF USD ACC,,SPAB,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=quQ0PKmQEuQ%3D
GLOBAL X ETFS ICAV S&P 500 ANNUAL BUFFER UCITS ETF USD (GBP,,SABP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=WCuTBCpDOSI%3D
GLOBAL X ETFS ICAV S&P ANNUAL TAIL HEDGE UCITS ETF USD ACC,,SPAH,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=hM39PYPJX%2B4%3D
GLOBAL X ETFS ICAV S&P ANNUAL TAIL HEDGE UCITS ETF USD (GBP,,SAHP,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=VROkC2%2BWldM%3D
SSGA SPDR ETFS EUROPE I PLC SPDR BLOOMBERG 3-7 YR UCITS ETF,,TRS5,https://www.charles-stanley-direct.co.uk/ViewShare?InvestmentId=715UAq%2BmWe4%3D
